epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1055,1.98088,14.0641,1.31799,0.12115,0.51579,0.10806,0.05497,1.72776,10.2056,1.37363,0.00064,0.00064,0.00064
2,23.1727,1.51077,2.84604,1.14625,0.16629,0.13158,0.06104,0.03546,2.09332,3.5411,1.59494,0.00128713,0.00128713,0.00128713
3,28.9395,1.58999,1.75173,1.19739,0.23487,0.63158,0.19385,0.0858,1.74415,4.16111,1.32514,0.00192119,0.00192119,0.00192119
4,34.8296,1.61926,1.42305,1.23073,0.00794,0.17368,0.00482,0.00246,2.13045,37.3268,1.85276,0.0019406,0.0019406,0.0019406
5,40.6062,1.57908,1.33276,1.25174,0.27213,0.17895,0.12554,0.06437,1.8927,4.08269,1.76789,0.0019208,0.0019208,0.0019208
6,46.3528,1.50322,1.17062,1.1853,0.73697,0.3,0.35794,0.20266,1.80288,3.19431,1.48794,0.001901,0.001901,0.001901
7,52.0813,1.48343,1.09425,1.17334,0.16845,0.12632,0.0583,0.03473,1.87804,3.91068,2.0793,0.0018812,0.0018812,0.0018812
8,58.6275,1.43031,1.04781,1.14828,0.44132,0.10396,0.07357,0.03916,3.15642,nan,3.63896,0.0018614,0.0018614,0.0018614
9,64.3424,1.33244,0.96647,1.15631,0.72818,0.73319,0.75714,0.44504,1.56182,1.01018,1.26296,0.0018416,0.0018416,0.0018416
10,70.0492,1.32758,0.88459,1.09017,0.8134,0.67895,0.75959,0.48498,1.3624,0.91696,1.18826,0.0018218,0.0018218,0.0018218
11,75.7956,1.2655,0.91455,1.10072,0.82118,0.7251,0.75443,0.41656,1.54838,1.01392,1.28292,0.001802,0.001802,0.001802
12,81.4779,1.28569,0.92583,1.1073,0.7812,0.75789,0.78276,0.49956,1.3744,0.88374,1.21944,0.0017822,0.0017822,0.0017822
13,87.1949,1.25987,0.88971,1.09474,0.87386,0.70526,0.79916,0.50419,1.3911,0.93562,1.23934,0.0017624,0.0017624,0.0017624
14,92.9757,1.23293,0.8861,1.087,0.79909,0.69474,0.73116,0.49011,1.37434,1.09048,1.22672,0.0017426,0.0017426,0.0017426
15,98.7195,1.23717,0.8317,1.06133,0.81721,0.80001,0.80971,0.52365,1.3408,0.82004,1.18655,0.0017228,0.0017228,0.0017228
16,104.554,1.22857,0.82891,1.06554,0.84095,0.75138,0.80153,0.50111,1.33848,0.83392,1.1654,0.001703,0.001703,0.001703
17,110.293,1.22095,0.86355,1.03234,0.84648,0.78356,0.82303,0.53167,1.31764,0.81351,1.13159,0.0016832,0.0016832,0.0016832
18,116.086,1.20917,0.84421,1.05572,0.84806,0.77368,0.82797,0.53516,1.2578,0.84424,1.12544,0.0016634,0.0016634,0.0016634
